WKT,Coordinates,Route Name,Route Number
"POINT (120.9819711 14.6033483)",14.6033483, 120.9819711,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9821021 14.6053439)",14.6053439, 120.9821021,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9822721 14.6076956)",14.6076956, 120.9822721,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.98245 14.6099584)",14.6099584, 120.98245,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.982552 14.6112673)",14.6112673, 120.982552,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9827224 14.6140893)",14.6140893, 120.9827224,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.982794 14.6162478)",14.6162478, 120.982794,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9828529 14.6184373)",14.6184373, 120.9828529,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9829123 14.6209755)",14.6209755, 120.9829123,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9829508 14.622284)",14.622284, 120.9829508,Munoz-Vito Cruz via Sta Cruz, Mabini,61.0
"POINT (120.9888967 14.618394)",14.618394, 120.9888967,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9888669 14.6175416)",14.6175416, 120.9888669,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9882111 14.6135774)",14.6135774, 120.9882111,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9870758 14.6125593)",14.6125593, 120.9870758,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9862481 14.6118259)",14.6118259, 120.9862481,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9860597 14.6092279)",14.6092279, 120.9860597,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9857779 14.607083)",14.607083, 120.9857779,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9845593 14.601137)",14.601137, 120.9845593,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9842375 14.5996186)",14.5996186, 120.9842375,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9805243 14.5946282)",14.5946282, 120.9805243,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9789212 14.5937887)",14.5937887, 120.9789212,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9809378 14.5899142)",14.5899142, 120.9809378,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9823375 14.5864104)",14.5864104, 120.9823375,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.982704 14.5858287)",14.5858287, 120.982704,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9836256 14.5841713)",14.5841713, 120.9836256,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9843056 14.5829943)",14.5829943, 120.9843056,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9861895 14.5796343)",14.5796343, 120.9861895,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9880718 14.576354)",14.576354, 120.9880718,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9890269 14.5746772)",14.5746772, 120.9890269,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9912267 14.5707399)",14.5707399, 120.9912267,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.991733 14.5697865)",14.5697865, 120.991733,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9931334 14.5667739)",14.5667739, 120.9931334,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9939481 14.5650508)",14.5650508, 120.9939481,Blumentritt-Pasay Rotonda via L Guinto & Quiapo,62.0
"POINT (120.9827865 14.6207364)",14.6207364, 120.9827865,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9827215 14.6183845)",14.6183845, 120.9827215,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9826687 14.6162274)",14.6162274, 120.9826687,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9825907 14.613827)",14.613827, 120.9825907,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9824338 14.6112793)",14.6112793, 120.9824338,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9823245 14.6099595)",14.6099595, 120.9823245,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9821605 14.6075228)",14.6075228, 120.9821605,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9819801 14.6053562)",14.6053562, 120.9819801,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9819021 14.603931)",14.603931, 120.9819021,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9816835 14.6014858)",14.6014858, 120.9816835,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.981318 14.6005236)",14.6005236, 120.981318,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9800065 14.5993044)",14.5993044, 120.9800065,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9789205 14.5937829)",14.5937829, 120.9789205,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
"POINT (120.9809391 14.5899129)",14.5899129, 120.9809391,Blumentritt-Pasay Rotonda via L Guinto & Sta Cruz,63.0
