WKT,Coordinates,Route Name,Route Number,,,
POINT (120.9813704 14.5750666),14.5750666,120.9813704,Pier South-San Andres,49,,
POINT (120.9820593 14.5736971),14.5736971,120.9820593,Pier South-San Andres,49,,
POINT (120.984939 14.5746621),14.5746621,120.984939,Pier South-San Andres,49,,
POINT (120.9876346 14.5758331),14.5758331,120.9876346,Pier South-San Andres,49,,
POINT (120.9890967 14.576442),14.576442,120.9890967,Pier South-San Andres,49,,
POINT (120.9912304 14.5773665),14.5773665,120.9912304,Pier South-San Andres,49,,
POINT (120.9930891 14.575564),14.575564,120.9930891,Pier South-San Andres,49,,
POINT (120.9926012 14.5705176),14.5705176,120.9926012,Pier South-San Andres,49,,
POINT (120.9992464 14.5725262),14.5725262,120.9992464,Pier South-San Andres,49,,
POINT (121.0021058 14.5723603),14.5723603,121.0021058,Pier South-San Andres,49,,
POINT (120.9947904 14.5713397),14.5713397,120.9947904,Pier South-San Andres,49,,
POINT (120.9888987 14.6183855),14.6183855,120.9888987,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9888669 14.617587),14.617587,120.9888669,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9870714 14.6125636),14.6125636,120.9870714,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9862488 14.6118233),14.6118233,120.9862488,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9860614 14.6092288),14.6092288,120.9860614,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9857753 14.6070629),14.6070629,120.9857753,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9845587 14.6011383),14.6011383,120.9845587,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9842365 14.5996193),14.5996193,120.9842365,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9805239 14.5946266),14.5946266,120.9805239,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9789178 14.5937852),14.5937852,120.9789178,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9806773 14.5899324),14.5899324,120.9806773,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9794269 14.585351),14.585351,120.9794269,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9803017 14.5834463),14.5834463,120.9803017,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9788068 14.5804219),14.5804219,120.9788068,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9803631 14.5771506),14.5771506,120.9803631,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.981373 14.5750686),14.5750686,120.981373,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9820607 14.5736914),14.5736914,120.9820607,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9834645 14.5707874),14.5707874,120.9834645,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9840401 14.5696305),14.5696305,120.9840401,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9847345 14.5682749),14.5682749,120.9847345,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9861933 14.5652102),14.5652102,120.9861933,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9883079 14.5622419),14.5622419,120.9883079,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9894336 14.5600403),14.5600403,120.9894336,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9908654 14.5566364),14.5566364,120.9908654,Blumentritt - Libertad (via Mabini & Quiapo),50,,
POINT (120.9733546 14.5840781),14.5840781,120.9733546,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9802571 14.5957077),14.5957077,120.9802571,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9813891 14.599091),14.599091,120.9813891,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.981562 14.6004562),14.6004562,120.981562,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9817754 14.6015468),14.6015468,120.9817754,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9819707 14.6033407),14.6033407,120.9819707,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9821018 14.6053429),14.6053429,120.9821018,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9822711 14.6076954),14.6076954,120.9822711,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9824539 14.6099426),14.6099426,120.9824539,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9825535 14.6112666),14.6112666,120.9825535,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9827211 14.6140807),14.6140807,120.9827211,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9827945 14.6162504),14.6162504,120.9827945,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9828507 14.6184381),14.6184381,120.9828507,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9829143 14.6209742),14.6209742,120.9829143,Blumentritt - Pier South via Santa Cruz,51,,
POINT (120.9829532 14.6222832),14.6222832,120.9829532,Blumentritt - Pier South via Santa Cruz,51,,
