WKT,Coordinates,Route Name,Route Number,,,
POINT (120.9934667 14.6104867),14.6104867,120.9934667,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9925873 14.6096517),14.6096517,120.9925873,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9916198 14.6086469),14.6086469,120.9916198,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9896022 14.6068203),14.6068203,120.9896022,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9881992 14.6056028),14.6056028,120.9881992,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9845573 14.6011344),14.6011344,120.9845573,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9842381 14.599618),14.599618,120.9842381,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9805249 14.5946244),14.5946244,120.9805249,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9789205 14.5937881),14.5937881,120.9789205,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9806763 14.5899259),14.5899259,120.9806763,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9783403 14.5858234),14.5858234,120.9783403,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9788087 14.5804236),14.5804236,120.9788087,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9803642 14.5771515),14.5771515,120.9803642,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9813717 14.5750702),14.5750702,120.9813717,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9834641 14.5707883),14.5707883,120.9834641,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9853524 14.5685486),14.5685486,120.9853524,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9861933 14.5652075),14.5652075,120.9861933,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9883095 14.562241),14.562241,120.9883095,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9894331 14.5600386),14.5600386,120.9894331,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9908684 14.5566319),14.5566319,120.9908684,Baclaran-Quezon Insitute (via Mabini),43,,
POINT (120.9858387 14.5982246),14.5982246,120.9858387,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (120.9877323 14.5989851),14.5989851,120.9877323,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (120.9912472 14.6001149),14.6001149,120.9912472,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (120.992568 14.5988285),14.5988285,120.992568,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (120.9959113 14.598994),14.598994,120.9959113,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (120.9981134 14.5995209),14.5995209,120.9981134,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0009009 14.6011013),14.6011013,121.0009009,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.003215 14.6014656),14.6014656,121.003215,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0045683 14.6015673),14.6015673,121.0045683,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0132099 14.6008447),14.6008447,121.0132099,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0155847 14.5975181),14.5975181,121.0155847,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0150888 14.595758),14.595758,121.0150888,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0171029 14.5939334),14.5939334,121.0171029,Bacood-Quiapo (Barbosa) via R. Magsaysay,104,,
POINT (121.0131829 14.6008762),14.6008762,121.0131829,Bacood-Stop N Shop,185,,
POINT (121.015406 14.5978033),14.5978033,121.015406,Bacood-Stop N Shop,185,,
POINT (121.0150872 14.5958115),14.5958115,121.0150872,Bacood-Stop N Shop,185,,
