WKT,Longitude,Latitude,Route Name,Route Number
POINT (121.024088619708 14.6210885197085),121.0240886,14.62108852,Pier South–Project 4 via Espana,97
POINT (121.026707419708 14.6216131197085),121.0267074,14.62161312,Pier South–Project 4 via Espana,97
POINT (121.029128419708 14.6228617197085),121.0291284,14.62286172,Pier South–Project 4 via Espana,97
POINT (121.033768319708 14.6229270197085),121.0337683,14.62292702,Pier South–Project 4 via Espana,97
POINT (121.0016124 14.6150057),121.0016124,14.6150057,Pier South–Project 4 via Espana,97
POINT (121.038774519708 14.6233179197085),121.0387745,14.62331792,Pier South–Project 4 via Espana,97
POINT (121.0016124 14.6150057),121.0016124,14.6150057,Pier South–Project 4 via Espana,97
POINT (121.054097288841 14.63005705),121.0540973,14.63005705,Pier South–Project 4 via Espana,97
POINT (121.051765719708 14.6216399197085),121.0517657,14.62163992,Pier South–Project 4 via Espana,97
POINT (121.054119619708 14.6226059197085),121.0541196,14.62260592,Pier South–Project 4 via Espana,97
POINT (121.053101019708 14.6247082197085),121.053101,14.62470822,Pier South–Project 4 via Espana,97
POINT (121.052006669708 14.6232991197085),121.0520067,14.62329912,Pier South–Project 4 via Espana,97
POINT (120.976877 14.579474),120.976877,14.579474,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.976877 14.579474),120.976877,14.579474,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.983243669708 14.5811111197085),120.9832437,14.58111112,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.982639919708 14.5822017197085),120.9826399,14.58220172,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.981309219708 14.5848864197085),120.9813092,14.58488642,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.993836504809 14.5652642742788),120.9938365,14.56526427,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.979333819708 14.5885644197085),120.9793338,14.58856442,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.993836504809 14.5652642742788),120.9938365,14.56526427,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9750843 14.5826472),120.9750843,14.5826472,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.9833302 14.5972897),120.9833302,14.5972897,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.984887113368 14.6031133400747),120.9848871,14.60311334,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.986690419708 14.6039105197085),120.9866904,14.60391052,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.988143669708 14.6088467197085),120.9881437,14.60884672,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.988143669708 14.6088467197085),120.9881437,14.60884672,Project 2&3–T.M. Kalaw via Timog Ave.,98
POINT (120.991359019708 14.6080435197085),120.991359,14.60804352,Project 2&3–T.M. Kalaw via Timog Ave.,98
