WKT,Coordinates,Route Name,Route Number
"POINT (120.9734687 14.6008255)",14.6008255, 120.9734687,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9742633 14.5991325)",14.5991325, 120.9742633,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9747683 14.5983202)",14.5983202, 120.9747683,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9752449 14.5974637)",14.5974637, 120.9752449,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9779567 14.5972992)",14.5972992, 120.9779567,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9789352 14.5981856)",14.5981856, 120.9789352,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.981553 14.600436)",14.600436, 120.981553,Divisoria-Sta Cruz via San Nicholas,180.0
"POINT (120.9847763 14.6181113)",14.6181113, 120.9847763,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9848668 14.6170684)",14.6170684, 120.9848668,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9869649 14.615726)",14.615726, 120.9869649,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9893226 14.6165533)",14.6165533, 120.9893226,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9900767 14.6169657)",14.6169657, 120.9900767,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9911233 14.6158575)",14.6158575, 120.9911233,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.992745 14.6141813)",14.6141813, 120.992745,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9952363 14.6114557)",14.6114557, 120.9952363,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9968321 14.6098901)",14.6098901, 120.9968321,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (120.9989598 14.6076817)",14.6076817, 120.9989598,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (121.001308 14.6045346)",14.6045346, 121.001308,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (121.0012684 14.6029465)",14.6029465, 121.0012684,Lardizabal-Rizal Ave via M. dela Fuente,181.0
"POINT (121.0009402 14.6133841)",14.6133841, 121.0009402,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9997962 14.6120618)",14.6120618, 120.9997962,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9986536 14.6109101)",14.6109101, 120.9986536,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9964944 14.6089369)",14.6089369, 120.9964944,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9953354 14.6078904)",14.6078904, 120.9953354,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9926712 14.6074514)",14.6074514, 120.9926712,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9906391 14.6056009)",14.6056009, 120.9906391,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.988932 14.6032182)",14.6032182, 120.988932,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9881294 14.5999766)",14.5999766, 120.9881294,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9878998 14.5990559)",14.5990559, 120.9878998,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9860542 14.5983346)",14.5983346, 120.9860542,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9849375 14.5978964)",14.5978964, 120.9849375,Lealtad-Quiapo (Barbosa) via Lepanto,182.0
"POINT (120.9699118 14.6063783)",14.6063783, 120.9699118,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9692096 14.6080064)",14.6080064, 120.9692096,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9689651 14.6097603)",14.6097603, 120.9689651,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9666067 14.610109)",14.610109, 120.9666067,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9651258 14.6098961)",14.6098961, 120.9651258,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9629899 14.6097252)",14.6097252, 120.9629899,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9610892 14.6098616)",14.6098616, 120.9610892,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9603112 14.6149205)",14.6149205, 120.9603112,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9601571 14.6167725)",14.6167725, 120.9601571,Divisoria-Don Bosco via Moriones,183.0
"POINT (120.9883691 14.5621345)",14.5621345, 120.9883691,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9866852 14.5653671)",14.5653671, 120.9866852,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
"POINT (120.9860768 14.5667629)",14.5667629, 120.9860768,Baclaran-Blumentritt (via Mabini & Sta Cruz),184.0
