WKT,Coordinates,Route Name,Route Number,,
POINT (121.05687 14.56045),14.56045,121.05687,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.0597 14.5589),14.5589,121.0597,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.06479 14.55506),14.55506,121.06479,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.06591 14.55458),14.55458,121.06591,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.06701 14.5543),14.5543,121.06701,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.06813 14.55406),14.55406,121.06813,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.07019 14.55365),14.55365,121.07019,Guadalupe (ABC)-Brgy. Buting E. Rembo via Kalayaan,150,
POINT (121.01566 14.5718),14.5718,121.01566,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01488 14.57041),14.57041,121.01488,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01412 14.56894),14.56894,121.01412,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01336 14.5675),14.5675,121.01336,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01258 14.56602),14.56602,121.01258,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01098 14.56263),14.56263,121.01098,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01274 14.55822),14.55822,121.01274,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.0137 14.55456),14.55456,121.0137,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01267 14.54925),14.54925,121.01267,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01664 14.54434),14.54434,121.01664,Kayamanan C-PRC via Pasong Tamo,151,
POINT (121.01812 14.54082),14.54082,121.01812,Kayamanan C-PRC via Pasong Tamo,151,
POINT (120.99601 14.563),14.563,120.99601,L Guinto-Zobel Roxas via Paco,152,
POINT (120.99832 14.56407),14.56407,120.99832,L Guinto-Zobel Roxas via Paco,152,
POINT (120.99904 14.56197),14.56197,120.99904,L Guinto-Zobel Roxas via Paco,152,
POINT (121.00398 14.56686),14.56686,121.00398,L Guinto-Zobel Roxas via Paco,152,
